assayer_code,district,state,pincode
AS0841,"","",""
AS0843,"","",""
AS0635,Nalgonda,A.P,500068
AD0469,Siddipet,A.P,502103
AS0750,Papum Pore,Arunachal Pradesh,791110
AS0344,Sarguja,Chhattisgarh,497001
AS0311,Arvalli,Gujarat,383315
AS0039,Porbander,Gujarat,360575
AS0213,Jagdhri,Haryana,136118
AD0297,Rohthak,Haryana,124401
AD0240,Rohthak,Haryana,124001
AD0349,Purbi Singhbhum,Jharkhand,831001
AD0370,Davanegere,Karnataka,577006
AS0536,Guntakal,Karnataka,515801
AS0654,Uttar Kannada,Karnataka,581301
AS0658,Uttar Kannada,Karnataka,581336
AD0413,Sendwa,M.P,451666
AD0175,Vidhisha,M.P,464001
AS0755,Bhuvaneshwar,Odisha,751002
AS0570,Bhuvaneshwar,Odisha,751002
AS0590,Jagatasinghpur,Odisha,754135
AS0462,Naupada,Odisha,766108
AD0407,Manwa Khera,Rajasthan,313002
AS0241,Darjeeling,Sikkim,734102
AS0221,Chidambaram,Tamil Nadu,608601
AS0611,Shivaganga,Tamil Nadu,630002
AD0461,Thiruchirapalli,Tamil Nadu,""
AS0078,Thirunelveli,Tamil Nadu,627007
AS0618,Thoothukkkudi,Tamil Nadu,628203
AS0630,Thoothukkkudi,Tamil Nadu,628801
AS0610,Thoothukkkudi,Tamil Nadu,628704
AS0546,Vetriyur,Tamil Nadu,621707
AS0795,Virudhnagar,Tamil Nadu,626101
AS0063,Virudhnagar,Tamil Nadu,636007
AS0725,K V Rangareddy,Telangana,500083
AD0441,Agarthala,Tripura,799003
AD0104,Agarthala,Tripura,799022
AD0292,Murshidabad,U.P,""
AD0397,Murshidabad,U.P,""
AS0277,Pilibhat,Uttar Pradesh,262201
AS0319,Paschim Mednipur,west Bengal,721121
AS0565,Purba Mednipur,West Bengal,721656
